Local time,Open,High,Low,Close,Volume
13.03.2020 23:00:00.000 GMT+0200,132.524,132.524,132.524,132.524,0
14.03.2020 23:00:00.000 GMT+0200,132.524,132.524,132.524,132.524,0
15.03.2020 23:00:00.000 GMT+0200,131.693,133.035,128.893,129.829,563567.9221000001
16.03.2020 23:00:00.000 GMT+0200,129.826,131.216,128.583,129.776,713277.8956999999
17.03.2020 23:00:00.000 GMT+0200,129.753,130.314,124.062,125.601,635752.0504
18.03.2020 23:00:00.000 GMT+0200,124.263,129.561,124.244,127.122,614158.2234
19.03.2020 23:00:00.000 GMT+0200,127.124,132.040,126.395,129.018,512477.5507
20.03.2020 23:00:00.000 GMT+0200,129.018,129.018,129.018,129.018,0
21.03.2020 23:00:00.000 GMT+0200,129.018,129.018,129.018,129.018,0
22.03.2020 23:00:00.000 GMT+0200,129.285,129.382,127.338,128.381,513282.53400000004
23.03.2020 23:00:00.000 GMT+0200,128.123,131.424,127.670,130.768,497565.138
24.03.2020 23:00:00.000 GMT+0200,130.892,133.390,129.850,132.204,464639.6423
25.03.2020 23:00:00.000 GMT+0200,131.862,133.814,130.539,133.688,489470.8822000001
26.03.2020 23:00:00.000 GMT+0200,133.578,134.729,132.107,134.437,425329.9789
28.03.2020 00:00:00.000 GMT+0300,134.437,134.437,134.437,134.437,0
29.03.2020 00:00:00.000 GMT+0300,134.437,134.437,134.437,134.437,0
30.03.2020 00:00:00.000 GMT+0300,133.798,134.407,132.745,133.852,316056.33019999997
31.03.2020 00:00:00.000 GMT+0300,133.459,134.617,133.040,133.453,348657.8105
01.04.2020 00:00:00.000 GMT+0300,133.781,133.797,132.478,132.580,279566.20019999996
02.04.2020 00:00:00.000 GMT+0300,132.580,133.945,132.347,133.705,295604.979
03.04.2020 00:00:00.000 GMT+0300,133.705,134.082,132.541,133.064,282607.97319999995
04.04.2020 00:00:00.000 GMT+0300,133.064,133.064,133.064,133.064,0
05.04.2020 00:00:00.000 GMT+0300,133.064,133.064,133.064,133.064,0
06.04.2020 00:00:00.000 GMT+0300,132.469,134.523,132.469,133.543,293672.5402
07.04.2020 00:00:00.000 GMT+0300,133.544,134.972,132.924,134.084,297725.1111999999
08.04.2020 00:00:00.000 GMT+0300,134.084,135.017,133.689,134.728,254739.30960000007
09.04.2020 00:00:00.000 GMT+0300,134.707,135.744,134.587,135.213,253372.82030000002
10.04.2020 00:00:00.000 GMT+0300,135.183,135.401,134.718,134.718,137729.17009999996
11.04.2020 00:00:00.000 GMT+0300,134.718,134.718,134.718,134.718,0
12.04.2020 00:00:00.000 GMT+0300,134.718,134.718,134.718,134.718,0
13.04.2020 00:00:00.000 GMT+0300,134.981,135.221,134.504,134.730,154748.59100000001
14.04.2020 00:00:00.000 GMT+0300,134.692,135.495,134.568,135.318,203195.84159999996
15.04.2020 00:00:00.000 GMT+0300,135.209,135.337,133.633,134.483,227813.95650000006
16.04.2020 00:00:00.000 GMT+0300,134.483,134.880,133.710,134.411,245518.70759999997
17.04.2020 00:00:00.000 GMT+0300,134.404,134.960,133.894,134.430,241332.7896
18.04.2020 00:00:00.000 GMT+0300,134.430,134.430,134.430,134.430,0
19.04.2020 00:00:00.000 GMT+0300,134.430,134.430,134.430,134.430,0
20.04.2020 00:00:00.000 GMT+0300,134.243,134.719,133.782,133.825,198402.67020000002
21.04.2020 00:00:00.000 GMT+0300,133.778,134.056,131.903,132.400,254285.1213
22.04.2020 00:00:00.000 GMT+0300,132.371,133.293,132.041,132.876,195393.82140000002
23.04.2020 00:00:00.000 GMT+0300,132.871,133.679,132.392,132.799,234046.80849999998
24.04.2020 00:00:00.000 GMT+0300,132.799,133.151,132.388,132.898,196100.18080000003
25.04.2020 00:00:00.000 GMT+0300,132.898,132.898,132.898,132.898,0
26.04.2020 00:00:00.000 GMT+0300,132.898,132.898,132.898,132.898,0
27.04.2020 00:00:00.000 GMT+0300,132.982,133.571,132.818,133.299,178085.8696
28.04.2020 00:00:00.000 GMT+0300,133.303,133.553,132.723,132.755,184054.55939999997
29.04.2020 00:00:00.000 GMT+0300,132.755,133.003,131.937,132.961,183452.85899999997
30.04.2020 00:00:00.000 GMT+0300,132.961,135.449,132.502,134.948,240585.14190000002
01.05.2020 00:00:00.000 GMT+0300,134.872,135.071,133.360,133.537,207785.47059999997
02.05.2020 00:00:00.000 GMT+0300,133.537,133.537,133.537,133.537,0
03.05.2020 00:00:00.000 GMT+0300,133.537,133.537,133.537,133.537,0
