Gmt time,Open,High,Low,Close,Volume
31.12.2019 22:00:00.000,76.235,76.235,76.235,76.235,0
01.01.2020 22:00:00.000,76.266,76.321,75.672,75.881,185173.64260000002
02.01.2020 22:00:00.000,75.876,75.897,74.854,75.063,162696.09969999996
03.01.2020 22:00:00.000,75.063,75.063,75.063,75.063,0
04.01.2020 22:00:00.000,75.063,75.063,75.063,75.063,0
05.01.2020 22:00:00.000,74.866,75.270,74.732,75.198,143661.6104
06.01.2020 22:00:00.000,75.198,75.262,74.348,74.497,152757.0494
07.01.2020 22:00:00.000,74.497,75.068,73.756,74.910,242406.06199999998
08.01.2020 22:00:00.000,74.882,75.202,74.839,75.112,136117.0099
09.01.2020 22:00:00.000,75.106,75.697,75.012,75.511,144513.9103
10.01.2020 22:00:00.000,75.511,75.511,75.511,75.511,0
11.01.2020 22:00:00.000,75.511,75.511,75.511,75.511,0
12.01.2020 22:00:00.000,75.534,76.009,75.503,75.895,113539.24050000001
13.01.2020 22:00:00.000,75.895,76.103,75.738,75.897,140695.179
14.01.2020 22:00:00.000,75.896,76.036,75.580,75.834,122727.15999999999
15.01.2020 22:00:00.000,75.830,76.244,75.826,75.963,109303.3408
16.01.2020 22:00:00.000,75.963,76.167,75.663,75.675,110121.26879999998
17.01.2020 22:00:00.000,75.675,75.675,75.675,75.675,0
18.01.2020 22:00:00.000,75.675,75.675,75.675,75.675,0
19.01.2020 22:00:00.000,75.658,75.894,75.525,75.719,71156.12000000001
20.01.2020 22:00:00.000,75.719,75.813,75.108,75.192,132263.54959999997
21.01.2020 22:00:00.000,75.192,75.408,75.029,75.174,119902.5795
22.01.2020 22:00:00.000,75.174,75.492,74.649,74.965,154379.32050000003
23.01.2020 22:00:00.000,74.964,75.172,74.424,74.519,123608.0916
24.01.2020 22:00:00.000,74.519,74.519,74.519,74.519,0
25.01.2020 22:00:00.000,74.519,74.519,74.519,74.519,0
26.01.2020 22:00:00.000,74.195,74.329,73.541,73.611,173694.01840000003
27.01.2020 22:00:00.000,73.612,73.834,73.295,73.806,138208.7005
28.01.2020 22:00:00.000,73.806,74.008,73.444,73.619,133923.05890000003
29.01.2020 22:00:00.000,73.577,73.646,72.803,73.218,186639.719
30.01.2020 22:00:00.000,73.219,73.439,72.415,72.415,176139.87
31.01.2020 22:00:00.000,72.415,72.415,72.415,72.415,0
01.02.2020 22:00:00.000,72.415,72.415,72.415,72.415,0
02.02.2020 22:00:00.000,72.471,72.923,72.410,72.718,168654.4601
03.02.2020 22:00:00.000,72.720,73.847,72.499,73.800,144679.9597
04.02.2020 22:00:00.000,73.796,74.342,73.540,74.086,156124.44989999995
05.02.2020 22:00:00.000,74.085,74.391,73.977,74.015,124115.7306
06.02.2020 22:00:00.000,74.015,74.094,73.044,73.199,138243.1399
07.02.2020 22:00:00.000,73.199,73.199,73.199,73.199,0
08.02.2020 22:00:00.000,73.199,73.199,73.199,73.199,0
09.02.2020 22:00:00.000,73.116,73.670,73.052,73.396,110283.2107
10.02.2020 22:00:00.000,73.395,74.003,73.321,73.707,86719.99970000001
11.02.2020 22:00:00.000,73.693,74.292,73.678,74.149,76280.11009999998
12.02.2020 22:00:00.000,74.139,74.167,73.646,73.787,127180.52089999999
13.02.2020 22:00:00.000,73.775,73.985,73.607,73.663,95894.20989999999
14.02.2020 22:00:00.000,73.663,73.663,73.663,73.663,0
15.02.2020 22:00:00.000,73.663,73.663,73.663,73.663,0
16.02.2020 22:00:00.000,73.827,73.952,73.695,73.763,75615.1798
17.02.2020 22:00:00.000,73.761,73.774,73.189,73.460,116377.56070000003
18.02.2020 22:00:00.000,73.463,74.472,73.426,74.302,113945.91
19.02.2020 22:00:00.000,74.302,74.416,73.789,74.121,153787.7385
20.02.2020 22:00:00.000,74.153,74.297,73.427,73.859,150307.68980000002
21.02.2020 22:00:00.000,73.859,73.859,73.859,73.859,0
22.02.2020 22:00:00.000,73.859,73.859,73.859,73.859,0
23.02.2020 22:00:00.000,73.262,73.908,72.996,73.091,192104.9702
24.02.2020 22:00:00.000,73.090,73.498,72.525,72.752,241408.0514
25.02.2020 22:00:00.000,72.751,73.012,72.220,72.252,256634.0514
26.02.2020 22:00:00.000,72.251,72.589,71.980,71.991,268688.79980000004
27.02.2020 22:00:00.000,71.976,72.202,69.374,70.287,390094.7778
28.02.2020 22:00:00.000,70.287,70.287,70.287,70.287,0
29.02.2020 22:00:00.000,70.287,70.287,70.287,70.287,0
01.03.2020 22:00:00.000,69.460,71.198,69.426,70.837,313290.9205
02.03.2020 22:00:00.000,70.837,71.509,70.303,70.514,298354.10920000006
03.03.2020 22:00:00.000,70.503,71.317,70.301,71.248,222048.44219999996
04.03.2020 22:00:00.000,71.249,71.427,69.951,70.198,208558.47999999995
05.03.2020 22:00:00.000,70.198,70.425,69.580,69.895,293090.5517
06.03.2020 22:00:00.000,69.895,69.895,69.895,69.895,0
07.03.2020 22:00:00.000,69.895,69.895,69.895,69.895,0
08.03.2020 21:00:00.000,68.845,69.177,64.356,67.402,410832.3091
09.03.2020 21:00:00.000,67.402,68.987,67.056,68.682,386373.17909999995
10.03.2020 21:00:00.000,68.681,68.786,67.622,67.751,316583.5416
11.03.2020 21:00:00.000,67.756,67.960,65.047,65.229,426143.65669999993
12.03.2020 21:00:00.000,65.230,67.739,65.150,66.699,457526.383
13.03.2020 21:00:00.000,66.699,66.699,66.699,66.699,0
14.03.2020 21:00:00.000,66.699,66.699,66.699,66.699,0
15.03.2020 21:00:00.000,65.747,67.375,64.053,64.689,438486.96219999995
16.03.2020 21:00:00.000,64.775,65.825,63.919,64.589,553194.7699
17.03.2020 21:00:00.000,64.565,64.856,61.685,62.363,515891.21599999996
18.03.2020 21:00:00.000,62.309,65.543,59.888,63.564,520666.2914
19.03.2020 21:00:00.000,63.564,65.630,62.775,64.219,443442.6588000001
20.03.2020 21:00:00.000,64.219,64.219,64.219,64.219,0
21.03.2020 21:00:00.000,64.219,64.219,64.219,64.219,0
22.03.2020 21:00:00.000,64.312,64.887,62.921,64.877,502944.13719999994
23.03.2020 21:00:00.000,64.882,66.334,64.642,66.233,427227.5386000001
24.03.2020 21:00:00.000,66.234,67.703,65.926,66.260,382072.4476000001
