Gmt time,Open,High,Low,Close,Volume
25.09.2018 21:00:00.000,175.198,176.097,173.757,175.597,43730494.975999996
26.09.2018 21:00:00.000,174.577,177.258,173.778,176.798,50629528.0457
27.09.2018 21:00:00.000,174.677,175.018,170.857,172.478,45675332.0695
28.09.2018 21:00:00.000,172.478,172.478,172.478,172.478,0
29.09.2018 21:00:00.000,172.478,172.478,172.478,172.478,0
30.09.2018 21:00:00.000,172.598,174.118,169.998,172.838,55909560.6805
01.10.2018 21:00:00.000,171.398,171.398,169.377,170.258,45141110.181899995
02.10.2018 21:00:00.000,170.498,172.878,170.357,172.777,31066467.285099998
03.10.2018 21:00:00.000,171.678,176.477,171.637,174.317,54773978.710099995
04.10.2018 21:00:00.000,174.297,175.778,173.358,173.618,37996993.7801
05.10.2018 21:00:00.000,173.618,173.618,173.618,173.618,0
06.10.2018 21:00:00.000,173.618,173.618,173.618,173.618,0
07.10.2018 21:00:00.000,171.958,172.477,168.537,168.937,35799955.6064
08.10.2018 21:00:00.000,169.697,169.698,167.157,167.757,40254720.21100001
09.10.2018 21:00:00.000,167.758,173.417,167.338,171.677,54359902.3818
10.10.2018 21:00:00.000,168.837,170.838,167.237,167.738,70686044.21599999
11.10.2018 21:00:00.000,167.317,170.498,164.877,165.078,50255512.2376
12.10.2018 21:00:00.000,165.078,165.078,165.078,165.078,0
13.10.2018 21:00:00.000,165.078,165.078,165.078,165.078,0
14.10.2018 21:00:00.000,164.117,165.077,162.717,163.217,34420171.260900006
15.10.2018 21:00:00.000,163.337,163.937,161.017,162.458,43812096.8342
16.10.2018 21:00:00.000,162.957,165.138,162.557,164.938,46516001.2245
17.10.2018 21:00:00.000,165.198,166.198,164.117,165.098,51214934.1108
18.10.2018 21:00:00.000,164.217,164.857,162.458,163.438,38900919.4375
19.10.2018 21:00:00.000,163.438,163.438,163.438,163.438,0
20.10.2018 21:00:00.000,163.438,163.438,163.438,163.438,0
21.10.2018 21:00:00.000,164.398,166.057,163.998,164.997,44465425.0146
22.10.2018 21:00:00.000,163.197,166.198,163.197,165.998,68655405.9984
23.10.2018 21:00:00.000,168.998,171.857,163.938,170.618,54500496.6258
24.10.2018 21:00:00.000,168.518,174.078,168.497,171.917,37053313.2554
25.10.2018 21:00:00.000,169.958,170.118,166.438,167.238,45267963.886300005
26.10.2018 21:00:00.000,167.238,167.238,167.238,167.238,0
27.10.2018 21:00:00.000,167.238,167.238,167.238,167.238,0
28.10.2018 21:00:00.000,166.798,174.078,166.797,173.257,29725567.3407
29.10.2018 21:00:00.000,172.918,173.018,169.318,169.397,25611313.1046
30.10.2018 21:00:00.000,171.757,173.698,170.718,173.438,27846535.6827
31.10.2018 21:00:00.000,172.337,178.258,171.777,175.778,34298789.26279999
01.11.2018 21:00:00.000,178.738,180.618,176.297,176.518,33677941.799
02.11.2018 21:00:00.000,176.518,176.518,176.518,176.518,0
03.11.2018 21:00:00.000,176.518,176.518,176.518,176.518,0
04.11.2018 22:00:00.000,176.217,176.398,174.638,175.038,23177668.8101
05.11.2018 22:00:00.000,174.798,175.137,171.937,173.137,37555605.173200004
06.11.2018 22:00:00.000,172.438,176.618,172.438,175.097,27318955.0639
07.11.2018 22:00:00.000,176.138,179.898,176.077,178.817,32207661.151899997
08.11.2018 22:00:00.000,176.798,177.938,173.297,177.158,35033106.088700004
09.11.2018 22:00:00.000,177.158,177.158,177.158,177.158,0
10.11.2018 22:00:00.000,177.158,177.158,177.158,177.158,0
11.11.2018 22:00:00.000,176.518,177.118,170.577,170.598,31687185.526
12.11.2018 22:00:00.000,171.037,175.558,170.397,175.218,36353810.3103
13.11.2018 22:00:00.000,174.898,176.718,172.478,173.418,37285073.041999996
14.11.2018 22:00:00.000,172.777,174.018,160.277,166.078,52883228.3021
15.11.2018 22:00:00.000,165.677,168.818,163.358,164.857,31735024.2138
16.11.2018 22:00:00.000,164.857,164.857,164.857,164.857,0
17.11.2018 22:00:00.000,164.857,164.857,164.857,164.857,0
18.11.2018 22:00:00.000,164.997,167.758,164.997,166.378,31860446.4531
19.11.2018 22:00:00.000,164.118,165.058,160.657,161.678,42040253.8776
20.11.2018 22:00:00.000,162.577,166.918,161.997,166.778,33552535.534
21.11.2018 22:00:00.000,166.137,167.237,164.258,165.757,25605119.1092
22.11.2018 22:00:00.000,165.177,167.498,163.017,164.538,27862423.7776
23.11.2018 22:00:00.000,164.538,164.538,164.538,164.538,0
24.11.2018 22:00:00.000,164.538,164.538,164.538,164.538,0
25.11.2018 22:00:00.000,166.458,169.257,166.458,168.758,33184423.4467
26.11.2018 22:00:00.000,167.018,168.957,165.058,168.557,31892201.900199994
27.11.2018 22:00:00.000,167.577,170.037,166.117,166.818,41383855.819800004
28.11.2018 22:00:00.000,167.397,168.697,166.298,167.858,30859244.8235
29.11.2018 22:00:00.000,167.477,167.477,161.498,161.798,34772590.6372
30.11.2018 22:00:00.000,161.798,161.798,161.798,161.798,0
01.12.2018 22:00:00.000,161.798,161.798,161.798,161.798,0
02.12.2018 22:00:00.000,164.817,167.478,162.737,163.397,37696621.8948
03.12.2018 22:00:00.000,163.938,165.237,158.817,159.158,36161252.021699995
04.12.2018 22:00:00.000,155.378,161.317,153.397,159.098,35945416.4504
05.12.2018 22:00:00.000,156.278,157.078,152.337,152.917,49136042.8333
06.12.2018 22:00:00.000,153.258,157.538,153.118,154.638,39575197.4582
07.12.2018 22:00:00.000,154.638,154.638,154.638,154.638,0
08.12.2018 22:00:00.000,154.638,154.638,154.638,154.638,0
09.12.2018 22:00:00.000,153.278,155.357,152.137,154.018,53832224.8458
10.12.2018 22:00:00.000,151.998,155.317,150.997,153.937,45536903.858100004
11.12.2018 22:00:00.000,152.257,159.477,151.478,158.978,50356583.1184
12.12.2018 22:00:00.000,159.098,163.258,158.757,158.877,47799444.1984
13.12.2018 22:00:00.000,156.078,158.978,155.338,158.038,44161443.47179999
14.12.2018 22:00:00.000,158.038,158.038,158.038,158.038,0
15.12.2018 22:00:00.000,158.038,158.038,158.038,158.038,0
16.12.2018 22:00:00.000,156.437,157.357,152.017,152.738,43938163.0419
17.12.2018 22:00:00.000,151.358,155.078,151.358,152.718,42705058.5747
18.12.2018 22:00:00.000,151.378,153.437,150.997,151.577,45018930.9119
19.12.2018 22:00:00.000,148.717,150.298,147.738,147.857,66084029.1977
20.12.2018 22:00:00.000,148.077,148.958,146.137,147.518,65721824.645899996
21.12.2018 22:00:00.000,147.518,147.518,147.518,147.518,0
22.12.2018 22:00:00.000,147.518,147.518,147.518,147.518,0
23.12.2018 22:00:00.000,146.757,149.417,146.257,146.517,14443561.077100001
24.12.2018 22:00:00.000,146.517,146.517,146.517,146.517,0
25.12.2018 22:00:00.000,146.517,146.517,146.517,146.517,0
26.12.2018 22:00:00.000,148.698,149.257,144.958,146.058,54104060.649900004
27.12.2018 22:00:00.000,145.917,150.378,145.737,149.978,57297358.513000004
28.12.2018 22:00:00.000,149.978,149.978,149.978,149.978,0
29.12.2018 22:00:00.000,149.978,149.978,149.978,149.978,0
30.12.2018 22:00:00.000,148.137,150.178,146.338,149.738,10605396.0323
31.12.2018 22:00:00.000,149.738,149.738,149.738,149.738,0
01.01.2019 22:00:00.000,147.577,151.138,145.377,150.437,45717123.508499995
02.01.2019 22:00:00.000,149.178,154.217,148.377,150.718,42777768.8504
03.01.2019 22:00:00.000,151.618,156.558,151.618,155.158,64241910.9346
04.01.2019 22:00:00.000,155.158,155.158,155.158,155.158,0
05.01.2019 22:00:00.000,155.158,155.158,155.158,155.158,0
06.01.2019 22:00:00.000,154.997,156.757,152.617,155.378,44947120.18970001
07.01.2019 22:00:00.000,155.997,159.158,155.757,157.797,41418081.2836
08.01.2019 22:00:00.000,158.818,158.818,156.117,156.978,44535442.114
09.01.2019 22:00:00.000,155.437,159.477,155.437,158.817,35083512.3061
10.01.2019 22:00:00.000,157.678,158.577,155.477,157.037,41020127.77330001
11.01.2019 22:00:00.000,157.037,157.037,157.037,157.037,0
12.01.2019 22:00:00.000,157.037,157.037,157.037,157.037,0
13.01.2019 22:00:00.000,155.997,159.278,155.997,159.057,43685033.7982
14.01.2019 22:00:00.000,159.737,162.238,157.697,159.197,40989298.3438
15.01.2019 22:00:00.000,160.218,161.858,158.538,160.938,38961544.2754
16.01.2019 22:00:00.000,158.997,161.118,157.637,160.437,38762040.8535
17.01.2019 22:00:00.000,161.617,165.978,160.537,165.877,28440167.3078
18.01.2019 22:00:00.000,165.877,165.877,165.877,165.877,0
