Gmt time,Open,High,Low,Close,Volume
31.12.2019 22:00:00.000,121.827,121.827,121.827,121.827,0
01.01.2020 22:00:00.000,121.851,122.021,120.981,121.301,375996.4083
02.01.2020 22:00:00.000,121.276,121.377,120.167,120.573,277877.49840000004
03.01.2020 22:00:00.000,120.573,120.573,120.573,120.573,0
04.01.2020 22:00:00.000,120.573,120.573,120.573,120.573,0
05.01.2020 22:00:00.000,120.424,121.395,120.276,121.338,241643.36920000002
06.01.2020 22:00:00.000,121.307,121.445,120.782,120.952,231635.42719999995
07.01.2020 22:00:00.000,120.899,121.379,120.167,121.160,376992.18149999995
08.01.2020 22:00:00.000,121.158,121.688,121.093,121.634,233665.31869999997
09.01.2020 22:00:00.000,121.630,121.837,121.522,121.738,179105.52080000003
10.01.2020 22:00:00.000,121.738,121.738,121.738,121.738,0
11.01.2020 22:00:00.000,121.738,121.738,121.738,121.738,0
12.01.2020 22:00:00.000,121.718,122.489,121.716,122.404,157465.96010000005
13.01.2020 22:00:00.000,122.383,122.763,122.185,122.380,215186.3391
14.01.2020 22:00:00.000,122.384,122.721,122.195,122.526,207386.12850000002
15.01.2020 22:00:00.000,122.524,122.870,122.481,122.655,166467.32040000003
16.01.2020 22:00:00.000,122.653,122.840,122.114,122.116,155613.9494
17.01.2020 22:00:00.000,122.116,122.116,122.116,122.116,0
18.01.2020 22:00:00.000,122.116,122.116,122.116,122.116,0
19.01.2020 22:00:00.000,122.107,122.316,122.033,122.230,103088.04000000001
20.01.2020 22:00:00.000,122.232,122.370,121.714,121.750,199229.54859999998
21.01.2020 22:00:00.000,121.737,122.015,121.612,121.841,187882.89029999997
22.01.2020 22:00:00.000,121.841,121.876,120.633,121.021,242093.6106
23.01.2020 22:00:00.000,121.019,121.264,120.414,120.452,193238.74060000002
24.01.2020 22:00:00.000,120.452,120.452,120.452,120.452,0
25.01.2020 22:00:00.000,120.452,120.452,120.452,120.452,0
26.01.2020 22:00:00.000,120.183,120.398,119.905,119.987,268069.4316
27.01.2020 22:00:00.000,119.987,120.333,119.806,120.297,211973.58189999993
28.01.2020 22:00:00.000,120.248,120.418,119.888,120.019,186623.0797
29.01.2020 22:00:00.000,120.022,120.246,119.775,120.176,268837.2503
30.01.2020 22:00:00.000,120.179,120.405,120.026,120.163,270019.1809
31.01.2020 22:00:00.000,120.163,120.163,120.163,120.163,0
01.02.2020 22:00:00.000,120.163,120.163,120.163,120.163,0
02.02.2020 22:00:00.000,120.275,120.378,119.918,120.186,272011.9895
03.02.2020 22:00:00.000,120.167,120.981,120.062,120.950,242276.3131
04.02.2020 22:00:00.000,120.951,121.150,120.656,120.789,247579.1799
05.02.2020 22:00:00.000,120.786,121.019,120.568,120.787,196661.2603
06.02.2020 22:00:00.000,120.787,120.803,120.079,120.080,232063.95110000003
07.02.2020 22:00:00.000,120.080,120.080,120.080,120.080,0
08.02.2020 22:00:00.000,120.080,120.080,120.080,120.080,0
09.02.2020 22:00:00.000,120.013,120.338,119.677,119.777,203818.54990000004
10.02.2020 22:00:00.000,119.770,120.024,119.592,119.828,169162.4994
11.02.2020 22:00:00.000,119.819,120.302,119.612,119.702,103434.58009999999
12.02.2020 22:00:00.000,119.703,119.712,118.872,119.045,198084.02999999997
13.02.2020 22:00:00.000,119.039,119.227,118.865,118.883,201466.12079999998
14.02.2020 22:00:00.000,118.883,118.883,118.883,118.883,0
15.02.2020 22:00:00.000,118.883,118.883,118.883,118.883,0
16.02.2020 22:00:00.000,119.054,119.194,118.904,119.047,132525.8495
17.02.2020 22:00:00.000,119.046,119.063,118.462,118.561,219142.5392
18.02.2020 22:00:00.000,118.561,120.495,118.559,120.305,228755.75140000004
19.02.2020 22:00:00.000,120.304,121.395,120.093,120.888,217480.89099999997
20.02.2020 22:00:00.000,120.875,121.352,120.358,120.980,269324.2709
21.02.2020 22:00:00.000,120.980,120.980,120.980,120.980,0
22.02.2020 22:00:00.000,120.980,120.980,120.980,120.980,0
23.02.2020 22:00:00.000,120.316,121.069,119.899,120.158,363693.86039999995
24.02.2020 22:00:00.000,120.152,120.533,119.410,119.906,434323.5993
25.02.2020 22:00:00.000,119.905,120.585,119.750,120.142,461368.2725000001
26.02.2020 22:00:00.000,120.142,121.040,119.949,120.540,527211.4411999999
27.02.2020 22:00:00.000,120.540,120.661,118.379,119.162,615690.3727
28.02.2020 22:00:00.000,119.162,119.162,119.162,119.162,0
29.02.2020 22:00:00.000,119.162,119.162,119.162,119.162,0
01.03.2020 22:00:00.000,118.659,120.750,118.602,120.588,572729.3881000001
02.03.2020 22:00:00.000,120.556,120.948,119.531,119.646,557986.7212
03.03.2020 22:00:00.000,119.630,120.131,119.025,119.729,473375.96329999994
04.03.2020 22:00:00.000,119.729,119.998,118.996,119.295,425137.21209999983
05.03.2020 22:00:00.000,119.295,119.432,118.707,118.835,543184.9894000001
06.03.2020 22:00:00.000,118.835,118.835,118.835,118.835,0
07.03.2020 22:00:00.000,118.835,118.835,118.835,118.835,0
08.03.2020 21:00:00.000,118.264,118.687,116.124,117.152,645571.7612000001
09.03.2020 21:00:00.000,116.994,119.482,116.804,119.168,664470.2374999999
10.03.2020 21:00:00.000,119.168,119.225,117.539,117.753,576713.0196
11.03.2020 21:00:00.000,117.728,118.336,116.308,116.989,729698.5501000002
12.03.2020 21:00:00.000,116.973,120.320,116.876,119.833,763529.9491
13.03.2020 21:00:00.000,119.833,119.833,119.833,119.833,0
14.03.2020 21:00:00.000,119.833,119.833,119.833,119.833,0
15.03.2020 21:00:00.000,119.071,119.887,117.134,118.336,831071.7040000001
16.03.2020 21:00:00.000,118.465,119.684,117.292,118.411,950765.2466999999
17.03.2020 21:00:00.000,118.411,118.505,116.897,117.956,841038.1819
18.03.2020 21:00:00.000,117.890,119.324,117.405,118.344,831328.4351000001
19.03.2020 21:00:00.000,118.324,119.298,117.841,118.479,942055.5850999999
20.03.2020 21:00:00.000,118.479,118.479,118.479,118.479,0
21.03.2020 21:00:00.000,118.479,118.479,118.479,118.479,0
22.03.2020 21:00:00.000,118.500,119.934,117.721,119.269,782878.3022000002
23.03.2020 21:00:00.000,119.254,120.536,118.805,119.964,686108.0800999999
24.03.2020 21:00:00.000,119.963,121.143,119.510,121.007,714559.4424000002
25.03.2020 21:00:00.000,120.997,121.083,119.952,120.837,684529.3047999998
26.03.2020 21:00:00.000,120.811,120.986,118.802,120.183,650616.1404
27.03.2020 21:00:00.000,120.183,120.183,120.183,120.183,0
28.03.2020 21:00:00.000,120.183,120.183,120.183,120.183,0
29.03.2020 21:00:00.000,119.621,119.993,118.795,119.027,525436.1103
30.03.2020 21:00:00.000,119.028,119.703,118.191,118.622,521514.6294000001
31.03.2020 21:00:00.000,118.548,118.872,116.944,117.475,458791.4805
01.04.2020 21:00:00.000,117.475,117.716,116.349,117.061,452878.7014
02.04.2020 21:00:00.000,117.094,117.386,116.731,117.204,393770.3779
03.04.2020 21:00:00.000,117.204,117.204,117.204,117.204,0
04.04.2020 21:00:00.000,117.204,117.204,117.204,117.204,0
05.04.2020 21:00:00.000,117.148,118.305,117.116,117.845,417387.84859999997
06.04.2020 21:00:00.000,117.845,119.035,117.506,118.443,402109.78150000004
07.04.2020 21:00:00.000,118.443,118.693,117.913,118.122,367211.6405999999
08.04.2020 21:00:00.000,118.118,119.000,118.072,118.527,349154.13879999996
09.04.2020 21:00:00.000,118.474,118.739,118.393,118.463,260961.7078
10.04.2020 21:00:00.000,118.463,118.463,118.463,118.463,0
11.04.2020 21:00:00.000,118.463,118.463,118.463,118.463,0
12.04.2020 21:00:00.000,118.678,118.711,117.306,117.554,261211.33869999993
13.04.2020 21:00:00.000,117.572,117.939,117.303,117.729,260441.9943
14.04.2020 21:00:00.000,117.709,117.777,116.792,117.207,278344.00700000004
15.04.2020 21:00:00.000,117.154,117.501,116.551,116.975,307139.96920000005
16.04.2020 21:00:00.000,116.969,117.413,116.622,116.931,313046.1266
17.04.2020 21:00:00.000,116.931,116.931,116.931,116.931,0
18.04.2020 21:00:00.000,116.931,116.931,116.931,116.931,0
19.04.2020 21:00:00.000,116.732,117.288,116.682,116.887,223086.4191
20.04.2020 21:00:00.000,116.872,117.160,116.219,117.018,299283.7492
21.04.2020 21:00:00.000,117.018,117.218,116.441,116.612,232334.17930000002
22.04.2020 21:00:00.000,116.618,116.833,115.636,115.950,280672.09069999994
23.04.2020 21:00:00.000,115.922,116.430,115.544,116.321,241659.83940000003
24.04.2020 21:00:00.000,116.321,116.321,116.321,116.321,0
25.04.2020 21:00:00.000,116.321,116.321,116.321,116.321,0
26.04.2020 21:00:00.000,116.431,116.511,116.047,116.150,227663.59120000005
27.04.2020 21:00:00.000,116.148,116.266,115.603,115.628,227180.9111
28.04.2020 21:00:00.000,115.601,116.076,115.449,115.955,216578.63940000001
29.04.2020 21:00:00.000,115.956,117.775,115.547,117.398,286556.5185
30.04.2020 21:00:00.000,117.374,117.765,117.018,117.380,200863.08059999996
01.05.2020 21:00:00.000,117.380,117.380,117.380,117.380,0
02.05.2020 21:00:00.000,117.380,117.380,117.380,117.380,0
03.05.2020 21:00:00.000,117.179,117.279,116.266,116.377,204096.8818
04.05.2020 21:00:00.000,116.404,116.569,115.407,115.467,226843.58379999996
05.05.2020 21:00:00.000,115.422,115.615,114.426,114.524,223582.34939999995
06.05.2020 21:00:00.000,114.527,115.137,114.435,115.125,243327.8507
07.05.2020 21:00:00.000,115.125,115.743,115.031,115.551,200187.25080000004
08.05.2020 21:00:00.000,115.551,115.551,115.551,115.551,0
09.05.2020 21:00:00.000,115.551,115.551,115.551,115.551,0
10.05.2020 21:00:00.000,115.305,116.513,115.284,116.349,220360.8086
11.05.2020 21:00:00.000,116.317,116.854,115.956,116.212,213486.36040000006
12.05.2020 21:00:00.000,116.212,116.410,115.690,115.783,240122.2797
13.05.2020 21:00:00.000,115.784,115.926,115.324,115.868,374541.6331
14.05.2020 21:00:00.000,115.868,116.196,115.474,115.793,235469.88960000002
15.05.2020 21:00:00.000,115.793,115.793,115.793,115.793,0
16.05.2020 21:00:00.000,115.793,115.793,115.793,115.793,0
17.05.2020 21:00:00.000,115.871,117.240,115.713,117.128,216597.90210000004
18.05.2020 21:00:00.000,117.128,118.199,117.026,117.632,244549.8591
19.05.2020 21:00:00.000,117.627,118.203,117.576,118.055,207290.16910000003
20.05.2020 21:00:00.000,118.029,118.525,117.727,117.818,212933.09999999995
21.05.2020 21:00:00.000,117.818,117.977,116.995,117.337,192434.53100000002
22.05.2020 21:00:00.000,117.337,117.337,117.337,117.337,0
23.05.2020 21:00:00.000,117.337,117.337,117.337,117.337,0
24.05.2020 21:00:00.000,117.231,117.556,117.084,117.338,142924.79979999998
25.05.2020 21:00:00.000,117.336,118.333,117.332,118.102,219428.10159999994
26.05.2020 21:00:00.000,118.091,118.909,117.703,118.567,304690.30859999993
27.05.2020 21:00:00.000,118.584,119.393,118.482,119.226,286936.7682
28.05.2020 21:00:00.000,119.227,119.898,118.857,119.680,364888.07729999995
29.05.2020 21:00:00.000,119.680,119.680,119.680,119.680,0
30.05.2020 21:00:00.000,119.680,119.680,119.680,119.680,0
31.05.2020 21:00:00.000,119.746,119.974,119.422,119.794,257522.33769999997
01.06.2020 21:00:00.000,119.792,121.632,119.622,121.377,302939.3409
02.06.2020 21:00:00.000,121.370,122.622,121.266,122.332,382906.18240000005
